authors,title,pdf_file
"G. Vuk (Vejdirectoratet, Denmark); J. Bowman (Bowman Research and Consulting); A. Daly (Univeristy of Leeds)",Impact of the household on person travel demand: the notion of family priority time in activity based models,ABS174_ Goran_Bowman_Daly.pdf
"J. Holmgren (Blekinge Institute of Technology); L. Ramstedt (Vectura, Solna); P. Davidsson (Malmö University); H. Edwards (Vectura, Solna); J.A. Persson (Malmö University)",Combining macro-level and agent-based modeling fot improved freight transport analysis,ABS175_Holmgren_etal.pdf
E. Jenelius (KTH Stockholm),Data fusion of instantaneous speeds and point-to-point travel times from probe vehicle data,ABS176_Jenelius.pdf
M. Fosgerau (TU Denmark); A. de Palma (Ecole Normale supérieure de Cachan),The dynamics of urban traffic congestion and the price of parking,ABS177_Fosgerau_dePalma.pdf
S. Habibi; A. Karlstrom; M. Sundberg (KTH Stockholm),An empirical study of predicting car type choice in Sweden using cross-validation and feature-selection,ABS181_Habibi_Karlstrom_Sundberg.pdf
J. Cao; N. Vasileios; M. Menendez (ETHZ Zurich),On-street parking neat the intersections: effects on traffic,ABS182_Cao_Vasileios_Menendez.pdf
A. Dimitropoulos; P. Rievelt; J.N. van Ommeren (VU University Amsterdam),Different types of electric vehicles: What do consumers want?,ABS183_Dimitropoulos_Rievelt_vanOmmeren.pdf
C. Cirillo(University of Maryland); P. Hetrakul (Research System Group); F. Bastin (University of Montreal),Dynamic discrete choice model for railway ticket cancellation and exchange behavior,ABS185_ Cirillo_et_al.pdf
R. Tanner (ITS Leeds); D. Bolduc (University of Laval Qc),The multiple discrete-continuoous extreme value model (MDCEV) with fixed costs,ABS187_Tanner_Bolduc.pdf
A. Tympakianaki; H. Koutsopoulos; W. Burghout; E. Jenelius (KTH),A comparative evaluation of gradient-based and stochastic approximation algorithms for estimation id dynamic origin-destination matrices,ABS190_ATympakianaki.pdf
P.O. Lindberg (KTH Stockholm),Sensitivity analysis of traffic equilibria with applications to OD-estimation,ABS195_Lindberg.pdf
Q. Bao; B. Kochan; T. Bellemans; D. Janssens; G. Wets (Hasselt University),Investigating the minimum study area size for an activity-based travel demand forecasting model,ABS196_Bao et al.pdf
M. Yildirimoglu; N. Geroliminis (EPFL Lausanne),Dynamic route choice modeling with macroscopic fundamental diagrams,ABS197_M.Yildirimoglu.pdf
